PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9014587"",""Transcription of ROBO3.2 mRNA"")",Yes,1,1,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849857"",""KLK5 cleaves and activates CELA2"")",Yes,[55],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928640"",""PAKs phosphorylate MLC"")",17
Developmental Biology,DCC mediated attractive signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373711"",""DCC interaction with Netrin-1"")",Yes,2,6,L1CAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374672"",""Cis-heterodimerization of L1 and Axonin-1"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399950"",""Phosphorylation of cofilin by LIMK-1"")",17
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986083"",""USP33 deubiquitinates ROBO1"")",Yes,3,14,NCAM1 interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375144"",""Interaction of NCAM1:GFRalpha-1 with GDNF"")",Yes,[56],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928608"",""LIMK phosphorylates CFL1, inactivating it"")",15
Developmental Biology,DSCAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376123"",""DSCAM associates with Rac1-GTP:pPAK1"")",Yes,4,2,Regulation of cortical dendrite branching,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985812"",""NCK2 binds to ROBO1,(ROBO2)"")",Yes,"[12, 17, 25, 32, 33, 36, 48]",7,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416546"",""Inactivation of R-Ras by Sema4D-Plexin-B1 GAP activity"")",15
Developmental Biology,EPH-ephrin mediated repulsion of cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928660"",""ADAM10 cleaves EFNAs"")",Yes,5,10,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614778"",""MAG gene expression"")",Yes,"[12, 33]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399935"",""Inactivation of R-Ras by Sema3A-Plexin-A GAP activity"")",15
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810159"",""HOXB2 chromatin is activated"")",Yes,6,1,Interaction between L1 and Ankyrins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392751"",""L1 linked to actin cytoskeleton by ankyrin"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928660"",""ADAM10 cleaves EFNAs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928640"",""PAKs phosphorylate MLC"")",14
Developmental Biology,EPH-ephrin mediated repulsion of cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4093327"",""EPHA binds TIAM1"")",Yes,7,6,Signaling by ROBO receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428534"",""Recruitment of Profilin by Ena/VASP proteins"")",Yes,"[3, 11, 25]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928660"",""ADAM10 cleaves EFNAs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399950"",""Phosphorylation of cofilin by LIMK-1"")",14
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617859"",""Retinoic acid activates HOXB4 chromatin"")",Yes,8,18,Netrin mediated repulsion signals,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418863"",""Shp2 binds pUnc5C"")",Yes,[14],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928616"",""Activated ROCK phosphorylates MRLCs"")",14
Developmental Biology,Keratinization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805546"",""Keratin type I binds keratin type II"")",Yes,9,2,Regulation of gene expression in beta cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211289"",""MAFA-, NKX2-2-, PAX6-, and PDX1-dependent synthesis of insulin precursor protein"")",Yes,"[47, 52]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985812"",""NCK2 binds to ROBO1,(ROBO2)"")",13
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617067"",""All-trans retinoic acid binds RARA:RXRA at the promoter of the CEBPE gene"")",Yes,57,1,ROBO receptors bind AKAP5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010641"",""AKAP5 recruits PKA to ROBO2"")",Yes,"[12, 17, 32, 33, 36, 48]",6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010641"",""AKAP5 recruits PKA to ROBO2"")",13
