PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Gene expression (Transcription),RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112435"",""Formation of Elongin BC complex"")",Yes,3,11,RUNX2 regulates chondrocyte maturation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986294"",""RUNX2 binds GLI2"")",Yes,"[5, 48, 34, 64, 43, 60, 13, 63, 65]",9,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615490"",""p-S133-CREB1 binds MIR132 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615490"",""p-S133-CREB1 binds MIR132 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621270"",""FOXO1,FOXO3 bind PINK1 gene promoter"")"
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007707"",""DLX5,(DLX6) binds RUNX2 gene promoter"")",Yes,5,115,Regulation of localization of FOXO transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614423"",""14-3-3 proteins bind AKT-phosphorylated FOXO1"")",Yes,[75],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615501"",""MIR132 gene expression is stimulated by p-S133-CREB1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615501"",""MIR132 gene expression is stimulated by p-S133-CREB1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621289"",""PINK1 gene expression is stimulated by FOXO1,FOXO3"")"
Gene expression (Transcription),FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621270"",""FOXO1,FOXO3 bind PINK1 gene promoter"")",Yes,6,1,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6803917"",""TP53 stimulates RGCC expression"")",Yes,"[5, 48, 34, 64, 43, 60, 12, 13, 63, 65, 66]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021182"",""MECP2 mRNA binds miR-132 RISC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021182"",""MECP2 mRNA binds miR-132 RISC"")",
Gene expression (Transcription),YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032794"",""WWTR1 (TAZ), TBX5, and PCAF form a complex"")",Yes,10,1,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8935731"",""ITGA2B gene transcription is stimulated by the complex of RUNX1, GATA1 and PRMT1 and inhibited by the complex of RUNX1, SIN3A and PRMT6"")",Yes,[58],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021183"",""MECP2 mRNA translation is inhibited by miR-132"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021183"",""MECP2 mRNA translation is inhibited by miR-132"")",
Gene expression (Transcription),YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032775"",""YAP1 binds TEAD1"")",Yes,16,1,Transcriptional regulation by RUNX2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008456"",""CDKN1A gene expression is inhibited by RUNX2"")",Yes,"[5, 48, 34, 64, 43, 60, 13, 17, 63, 65]",10,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022770"",""MECP2 binds SGK1 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022770"",""MECP2 binds SGK1 gene promoter"")",
Gene expression (Transcription),RNA Polymerase III Transcription Initiation From Type 3 Promoter,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-83791"",""Binding of SNAPc, Oct-1, and Staf to Type 3 Promoter"")",No,-,-,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798373"",""MDM2 ubiquitinates DYRK2"")",Yes,"[5, 48, 34, 64, 43, 60, 12, 13, 63, 65, 66]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022764"",""SGK1 gene expression is inhibited by MECP2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022764"",""SGK1 gene expression is inhibited by MECP2"")",
Gene expression (Transcription),PIWI-interacting RNA (piRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5601926"",""RNA polymerase II polymerizes primary piRNA transcript"")",Yes,22,2,YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1989766"",""Expression of CTGF"")",Yes,"[16, 23]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6795290"",""TORC2 complex phosphorylates SGK1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6795290"",""TORC2 complex phosphorylates SGK1"")",
Gene expression (Transcription),Senescence-Associated Secretory Phenotype (SASP),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3857305"",""Activated CEBPB and NFKB complex bind IL6 promoter"")",Yes,31,1,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9006585"",""PTPN4 gene expression is stimulated by MECP2"")",Yes,[66],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6795473"",""PDPK1 phosphorylates SGK1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6795473"",""PDPK1 phosphorylates SGK1"")",
Gene expression (Transcription),RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112437"",""Formation of NELF complex "")",Yes,36,11,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9620837"",""CCNG2 gene expression is stimulated by FOXO1,FOXO3,(FOXO4)"")",Yes,[29],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6795460"",""SGK1 phosphorylates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6795460"",""SGK1 phosphorylates MDM2"")",
Gene expression (Transcription),Small interfering RNA (siRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426464"",""Dicer cleaves double-stranded RNA to yield double-stranded siRNA"")",Yes,38,4,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938174"",""PF4 gene transcription is stimulated by RUNX1:CBFB"")",Yes,[58],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6793666"",""MDM2 translocates to the nucleus"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6793666"",""MDM2 translocates to the nucleus"")",
