First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-1980047,R-HSA-210836,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1980047"",""NOTCH1 stimulates HES1 transcription"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210836"",""HNF6-dependent synthesis of NEUROG3 protein during morphogenesis"")","Ferrer, J"
R-HSA-210769,R-HSA-211346,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211346"",""NEUROD1- and PDX1-dependent synthesis of glucokinase (GCK) protein"")","Ferrer, J"
R-HSA-210769,R-HSA-211350,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211350"",""PDX1-dependent synthesis of NKX6-1 protein"")","Ferrer, J"
R-HSA-210769,R-HSA-211301,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211301"",""PDX1-dependent synthesis of IAPP protein"")","Ferrer, J"
R-HSA-210769,R-HSA-211289,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210769"",""HNF6- and FGF10-dependent synthesis of PDX1 protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211289"",""MAFA-, NKX2-2-, PAX6-, and PDX1-dependent synthesis of insulin precursor protein"")","Ferrer, J"
R-HSA-210824,R-HSA-210784,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210824"",""HNF6-dependent synthesis of HNF1B protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210784"",""HNF1B-dependent synthesis of HNF6 protein"")","Ferrer, J"
R-HSA-210824,R-HSA-210788,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210824"",""HNF6-dependent synthesis of HNF1B protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210788"",""HNF1B- and FGF10-dependent synthesis of PTF1A protein"")","Ferrer, J"
R-HSA-210920,R-HSA-211346,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210920"",""NEUROG3-dependent synthesis of NEUROD1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211346"",""NEUROD1- and PDX1-dependent synthesis of glucokinase (GCK) protein"")","Ferrer, J"
R-HSA-210921,R-HSA-211289,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210921"",""NEUROG3-dependent synthesis of NKX2-2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211289"",""MAFA-, NKX2-2-, PAX6-, and PDX1-dependent synthesis of insulin precursor protein"")","Ferrer, J"
R-HSA-211272,R-HSA-210773,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211272"",""FOXOA2-, MAFA-, and PAX6-dependent synthesis of PDX1 protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210773"",""PDX1-dependent synthesis of NR5A2 protein"")","Ferrer, J"
