First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-1475026,R-HSA-1475022,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""Carbonic anhydrase hydrates carbon dioxide (cytosol)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475022"",""Carbonic anhydrase dehydrates bicarbonate (cytosol)"")","May, B"
R-HSA-1475026,R-HSA-200555,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""Carbonic anhydrase hydrates carbon dioxide (cytosol)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200555"",""acetyl-CoA + bicarbonate + ATP => malonyl-CoA + H2O + ADP + orthophosphate"")","Gopinathrao, G"
R-HSA-1475026,R-HSA-75851,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""Carbonic anhydrase hydrates carbon dioxide (cytosol)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75851"",""Btn-ACACA:2Mn2+ polymer carboxylates Ac-CoA to form Mal-CoA"")","Gopinathrao, G"
R-HSA-1475026,R-HSA-8876889,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""Carbonic anhydrase hydrates carbon dioxide (cytosol)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876889"",""Btn-ACACB:2Mn2+ polymer carboxylates Ac-CoA to form Mal-CoA"")","Jassal, B"
R-HSA-1475026,R-HSA-73577,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""Carbonic anhydrase hydrates carbon dioxide (cytosol)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73577"",""L-glutamine + 2 ATP + HCO3- + H2O => carbamoyl phosphate + L-glutamate + 2 ADP + orthophosphate"")","Jassal, B"
R-HSA-1475025,R-HSA-1237081,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475025"",""Carbonic anhydrase hydrates carbon dioxide (plasma membrane)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237081"",""Carbonic anhydrase VI dehydrates bicarbonate to water and carbon dioxide"")","May, B"
R-HSA-1475025,R-HSA-1475017,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475025"",""Carbonic anhydrase hydrates carbon dioxide (plasma membrane)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475017"",""Carbonic anhydrase dehydrates bicarbonate (plasma membrane)"")","May, B"
R-HSA-1237045,R-HSA-1237081,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237045"",""Carbonic Anhydrase VI hydrates carbon dioxide to bicarbonate and a proton"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237081"",""Carbonic anhydrase VI dehydrates bicarbonate to water and carbon dioxide"")","May, B"
R-HSA-1237045,R-HSA-1475017,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237045"",""Carbonic Anhydrase VI hydrates carbon dioxide to bicarbonate and a proton"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475017"",""Carbonic anhydrase dehydrates bicarbonate (plasma membrane)"")","May, B"
R-HSA-1475032,R-HSA-1475028,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475032"",""Carbonic anhydrase hydrates carbon dioxide (mitochondria)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475028"",""Carbonic anhydrase dehydrates bicarbonate (mitochondria)"")","May, B"
R-HSA-1475032,R-HSA-70555,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475032"",""Carbonic anhydrase hydrates carbon dioxide (mitochondria)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70555"",""2 ATP + NH4+ + HCO3- => 2 ADP + orthophosphate + carbamoyl phosphate [mitochondrial]"")","D'Eustachio, P"
R-HSA-1475032,R-HSA-70773,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475032"",""Carbonic anhydrase hydrates carbon dioxide (mitochondria)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70773"",""beta-methylcrotonyl-CoA + ATP + CO2 <=> beta-methylglutaconyl-CoA + ADP + orthophosphate + H2O [MCCA]"")",
