First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-114670,R-HSA-429529,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""GPIb-IX-V binds to vWF:Collagen complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""Thrombin binding to GP1b:IX:V"")","Akkerman, JW"
R-HSA-114697,R-HSA-114552,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""Thrombin-mediated activation of Proteinase-activated receptors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114552"",""G12/13 activation by PAR"")",
R-HSA-114697,R-HSA-114558,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""Thrombin-mediated activation of Proteinase-activated receptors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114558"",""Gq activation by PAR"")",
R-HSA-140664,R-HSA-114697,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (prothrombinase catalyst)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""Thrombin-mediated activation of Proteinase-activated receptors"")",
R-HSA-140664,R-HSA-429529,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (prothrombinase catalyst)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""Thrombin binding to GP1b:IX:V"")","Akkerman, JW"
R-HSA-140664,R-HSA-5578883,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (prothrombinase catalyst)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578883"",""Heparin cofactor 2 (SERPIND1) binds activated thrombin (factor IIa)"")","Jupe, S"
R-HSA-140696,R-HSA-141026,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140696"",""factor V -> factor Va + factor V activation peptide"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141026"",""Activated protein C cleaves factor Va to factor Vi intermediate form"")","D'Eustachio, P"
R-HSA-140700,R-HSA-114697,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""Thrombin-mediated activation of Proteinase-activated receptors"")",
R-HSA-140700,R-HSA-429529,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""Thrombin binding to GP1b:IX:V"")","Akkerman, JW"
R-HSA-140700,R-HSA-158419,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""prothrombin -> activated thrombin (factor IIa) + thrombin activation peptide (Xa catalyst)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158419"",""factor XI:platelet glycoprotein (GP) Ib:IX:V complex -> factor XIa:platelet glycoprotein (GP) Ib:IX:V complex (thrombin catalyst)"")","D'Eustachio, P"
