ReactionID,ReactionName,DiseaseID,DiseaseName
R-HSA-9670049,Defects in F8 A1 domain accelerate dissociation of the A2 domain,12134,factor VIII deficiency
R-HSA-9670054,Defects in F8 A2 domain accelerate dissociation of the A2 domain,12134,factor VIII deficiency
R-HSA-9668148,F8 variant is not sulfonated at Y1699,12134,factor VIII deficiency
R-HSA-9666383,F8 variant is not cleaved by thrombin,12134,factor VIII deficiency
R-HSA-9670189,F8 variant does not bind the cell membrane,12134,factor VIII deficiency
R-HSA-9665809,F8 variant does not bind von Willebrand factor,12134,factor VIII deficiency
R-HSA-9661980,F8 variant is not secreted,12134,factor VIII deficiency
R-HSA-9668365,FVIIIa variant:FIXa does not convert FX to the active FXa,12134,factor VIII deficiency
R-HSA-9670888,F9 variant is not secreted,12259,hemophilia B
R-HSA-9670874,FIXa variant:FVIIIa does not convert FX to the active FXa,12259,hemophilia B
R-HSA-9673223,FIX(29-461) variant is not activated (factor XIa catalyst),12259,hemophilia B
R-HSA-9673231,GGCX does not gamma-carboxylate 3D-F9(29-461) (pro-factor IX),12259,hemophilia B
R-HSA-9651456,SERPING1 variant does not bind factor XIIa,0060002,C1 inhibitor deficiency
R-HSA-9651467,SERPING1 variant does not bind kallikrein,0060002,C1 inhibitor deficiency
R-HSA-9650447,SERPING1 variant is not secreted,0060002,C1 inhibitor deficiency
R-HSA-9653249,Cleavage of factor XII variant by activated thrombin,14735,hereditary angioedema
R-HSA-9655046,Cleavage of FXII variant by KLKB1,14735,hereditary angioedema
R-HSA-9668253,Hyperactivation of factor X by FVIIIa:FIXa R384L,2452,thrombophilia
R-HSA-9664275,Src phosphorylates CD3 dimers in IgG:Lma antigens:FCGR3A:CD3 dimers,9111,cutaneous leishmaniasis
R-HSA-9664273,SYK binds IgG:Lma antigens:FCGR3A:p-CD3 dimers,9111,cutaneous leishmaniasis
R-HSA-9664278,Phosphorylation and activation of PLCG due to FCGR3A effect,9111,cutaneous leishmaniasis
R-HSA-9664285,IgG binds the surface of the amastigote form of Leishmania,9111,cutaneous leishmaniasis
R-HSA-9664261,Src phosphorylate SYK in IgG:Leishmania surface:p-FCGR3A:SYK,9111,cutaneous leishmaniasis
R-HSA-9664271,Release of PLCG from FCGR3A,9111,cutaneous leishmaniasis
R-HSA-9664270,Recruitment of PLCgamma to membrane due to FCGR3A effect,9111,cutaneous leishmaniasis
R-HSA-9664397,IgG binds LPG1G2 in the amastigote form of Leishmania,9111,cutaneous leishmaniasis
R-HSA-9664268,Opsonized leishmania amastigote binds FCGR3,9111,cutaneous leishmaniasis
R-HSA-9664406,IgG:Lma antigens binds FCGR3A:CD3 dimers,9111,cutaneous leishmaniasis
R-HSA-9666458,IgG:Leishmania surface:FCGR3A translocates from plasma membrane to the parasitophorous vacuole,9111,cutaneous leishmaniasis
R-HSA-9666435,"VAV1,2,3:PI(3,4,5)P3 binds p-6Y-SYK",9111,cutaneous leishmaniasis
R-HSA-9666433,IgG binds the surface of the amastigote form of Leishmania,9111,cutaneous leishmaniasis
R-HSA-9666426,CRKII:DOCK180:ELMO binds FCGR3A,9111,cutaneous leishmaniasis
R-HSA-9666425,"p-6Y-SYK phosphorylates VAV1,2,3",9111,cutaneous leishmaniasis
