First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1008200"",""NFE2 binds the beta globin locus control region"")",1008200,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1008220"",""Expression of globin genes under control of the beta globin control region"")",1008220,"Ouwehand, WH",Yes,NF-E2:Promoter region of beta-globin [nucleoplasm],Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1008240"",""NFE2 is a heterodimer"")",1008240,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1008200"",""NFE2 binds the beta globin locus control region"")",1008200,"Ouwehand, WH",Yes,NF-E2 [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114552"",""Thrombin-activated PARs activate G12/13"")",114552,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397891"",""Thrombin-activated PARs:G12/13 (active) dissociate"")",397891,"Akkerman, JW",Yes,Thrombin activated PAR:G12/13 (active) [plasma membrane],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114558"",""Thrombin-activated PARs activate Gq"")",114558,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-397835"",""Thrombin-activated PARs:Gq (active) dissociate"")",397835,"Akkerman, JW",Yes,Thrombin-activated PAR:Gq (active) [plasma membrane],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114577"",""Binding of GPVI:Fc Epsilon R1 gamma receptor complex with collagen"")",114577,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114600"",""Fyn/Lyn-mediated phosphorylation of FcR1 gamma"")",114600,,No,GPVI:FceRI gamma:FYN:LYN:Collagen type I [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114600"",""Fyn/Lyn-mediated phosphorylation of FcR1 gamma"")",114600,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139842"",""Binding of Syk tyrosine kinase"")",139842,,Yes,GPVI:phosphorylated Fc Epsilon R1 gamma:FYN:LYN:Collagen type I [plasma membrane],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""GPIb-IX-V binds to vWF:Collagen complex"")",114670,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430096"",""GP1b-IX-V binds filamin"")",430096,"Akkerman, JW",No,GpIb-IX-V:Collagen type I fibril:vWF [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""GPIb-IX-V binds to vWF:Collagen complex"")",114670,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430076"",""GP1b-IX-V binds 14-3-3-zeta"")",430076,"Akkerman, JW",No,GpIb-IX-V:Collagen type I fibril:vWF [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""GPIb-IX-V binds to vWF:Collagen complex"")",114670,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443418"",""GP1b signaling involves c-Src"")",443418,"Akkerman, JW",No,GpIb-IX-V:Collagen type I fibril:vWF [plasma membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""GPIb-IX-V binds to vWF:Collagen complex"")",114670,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""Thrombin binding to GP1b:IX:V"")",429529,"Akkerman, JW",No,GpIb-IX-V:Collagen type I fibril:vWF [plasma membrane],Complex,Input,False,OR,0,False
