First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-2032800,R-HSA-5578783,R-HSA-976950,Input,OR,0
R-HSA-390593,R-HSA-390597,R-HSA-390591,Input,OR,0
R-HSA-390595,R-HSA-390598,R-HSA-390592,Input,AND,1
R-HSA-390597,R-HSA-390598,R-HSA-390592,Input,AND,1
R-HSA-390598,R-HSA-390593,R-HSA-390596,Input,OR,0
R-HSA-392143,R-HSA-392152,R-HSA-392141,Catalyst,AND,1
R-HSA-445699,R-HSA-445705,R-HSA-445697,Input,OR,0
R-HSA-445700,R-HSA-445699,R-HSA-445701,Input,OR,0
R-HSA-445704,R-HSA-445700,R-HSA-445702,Input,AND,1
R-HSA-445705,R-HSA-445700,R-HSA-445702,Input,AND,1
R-HSA-445797,R-HSA-445813,R-HSA-445764,Catalyst,AND,1
R-HSA-5226904,R-HSA-169683,R-HSA-5226920,Negative Regulator,AND,-1
R-HSA-5263633,R-HSA-5263628,R-HSA-5263629,Input,AND,1
R-HSA-5578777,R-HSA-427910,R-HSA-5578810,Positive Regulator,AND,1
R-HSA-5578783,R-HSA-6784598,R-HSA-5578799,Input,AND,1
R-HSA-5617178,R-HSA-5617182,R-HSA-5617181,Positive Regulator,AND,1
R-HSA-5617178,R-HSA-5617179,R-HSA-5617181,Positive Regulator,AND,1
R-HSA-5617182,R-HSA-427910,R-HSA-5578810,Positive Regulator,AND,1
R-HSA-74448,R-HSA-445797,R-HSA-74294,Input,OR,0
R-HSA-74448,R-HSA-445813,R-HSA-74294,Input,OR,0
